temp,dew point,humidity,wind speed,datetime
35,20,54,18,2024-02-17 14:37:00
35,21,57,16,2024-02-17 14:51:00
35,21,57,17,2024-02-17 14:57:00
35,14,42,17,2024-02-17 15:51:00
36,12,37,16,2024-02-17 16:51:00
36,13,39,14,2024-02-17 17:51:00
34,13,42,21,2024-02-17 18:51:00
32,15,50,16,2024-02-17 19:51:00
31,13,47,14,2024-02-17 20:51:00
31,12,46,15,2024-02-17 21:51:00
29,11,47,12,2024-02-17 22:51:00
29,13,51,10,2024-02-17 23:51:00
32,11,42,6,2024-02-19 00:51:00
38,14,38,18,2024-02-19 01:51:00
36,16,44,10,2024-02-19 02:51:00
36,14,41,9,2024-02-19 03:51:00
36,13,39,14,2024-02-19 04:51:00
35,14,42,13,2024-02-19 05:51:00
35,14,42,14,2024-02-19 06:51:00
35,15,44,8,2024-02-19 07:51:00
35,16,46,14,2024-02-19 08:51:00
36,17,46,13,2024-02-19 09:51:00
36,15,43,20,2024-02-19 10:51:00
37,14,39,14,2024-02-19 11:51:00
38,15,39,15,2024-02-19 12:51:00
39,11,32,13,2024-02-19 13:51:00
39,10,30,14,2024-02-19 14:51:00
40,11,31,13,2024-02-19 15:51:00
40,8,27,8,2024-02-19 16:51:00
40,9,28,13,2024-02-19 17:51:00
38,8,29,10,2024-02-19 18:51:00
38,9,30,10,2024-02-19 19:51:00
37,8,30,9,2024-02-19 20:51:00
36,8,31,14,2024-02-19 21:51:00
34,9,35,12,2024-02-19 22:51:00
33,8,35,9,2024-02-19 23:51:00
32,14,48,6,2024-02-20 00:51:00
32,6,34,7,2024-02-20 01:51:00
31,7,37,7,2024-02-20 02:51:00
29,8,41,9,2024-02-20 03:51:00
28,6,39,9,2024-02-20 04:51:00
27,6,41,13,2024-02-20 05:51:00
27,5,39,10,2024-02-20 06:51:00
26,4,39,13,2024-02-20 07:51:00
27,5,39,13,2024-02-20 08:51:00
30,8,40,12,2024-02-20 09:51:00
30,8,40,12,2024-02-20 10:51:00
32,8,37,7,2024-02-20 11:51:00
34,9,35,9,2024-02-20 12:51:00
36,8,31,7,2024-02-20 13:51:00
36,9,33,7,2024-02-20 14:51:00
37,10,33,9,2024-02-20 15:51:00
37,9,31,10,2024-02-20 16:51:00
37,9,31,8,2024-02-20 17:51:00
34,13,42,9,2024-02-20 18:51:00
33,13,43,8,2024-02-20 19:51:00
33,13,43,7,2024-02-20 20:51:00
33,13,43,6,2024-02-20 21:51:00
32,14,48,5,2024-02-20 22:51:00
32,14,48,5,2024-02-20 23:51:00
36,23,59,8,2024-02-21 00:51:00
31,16,54,5,2024-02-21 01:51:00
30,16,56,5,2024-02-21 02:51:00
31,18,59,5,2024-02-21 03:51:00
30,19,64,5,2024-02-21 04:51:00
31,21,67,6,2024-02-21 05:51:00
30,22,72,5,2024-02-21 06:51:00
31,23,72,8,2024-02-21 07:51:00
32,24,73,7,2024-02-21 08:51:00
33,24,70,8,2024-02-21 09:51:00
34,25,70,10,2024-02-21 10:51:00
36,25,64,10,2024-02-21 11:51:00
38,25,60,14,2024-02-21 12:51:00
39,22,50,9,2024-02-21 13:51:00
40,22,49,9,2024-02-21 14:51:00
38,24,57,12,2024-02-21 15:51:00
38,25,60,10,2024-02-21 16:51:00
