"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT16","WT18"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-13",,,"0.14","0.0","0.0",,"58","45","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-14",,,"0.00","0.0","0.0",,"52","40",,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-15",,,"0.00","0.0","0.0",,"58","42",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-16",,,"0.00","0.0","0.0",,"55","42",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-17",,,"0.02","0.0","0.0",,"60","45",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-18",,,"0.00","0.0","0.0",,"62","40","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-19",,,"0.18","0.0","0.0",,"62","35","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-20",,,"0.54","0.0","0.0",,"69","51","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-21",,,"0.00","0.0","0.0",,"56","44",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-22",,,"0.09","0.0","0.0",,"52","43","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-23",,,"0.01","0.0","0.0",,"54","45","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-24",,,"0.00","0.0","0.0",,"53","42",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-25",,,"0.00","0.0","0.0",,"53","39",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-26",,,"0.00","0.0","0.0",,"53","35",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-27",,,"0.53","0.0","0.0",,"60","45","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-28",,,"0.02","0.0","0.0",,"47","37",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-29",,,"0.69","0.0","0.0",,"42","33",,,"    1",,,,,,"    1","    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-11-30",,,"0.00","0.0","0.0",,"45","31",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-01",,,"0.00","0.0","0.0",,"51","36","    1",,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-02",,,"0.00","0.0","0.0",,"47","31",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-03",,,"0.19","0.0","0.0",,"51","38","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-04",,,"0.21","0.0","0.0",,"54","42",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-05",,,"0.00","0.0","0.0",,"56","38",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-06",,,"0.06","0.0","0.0",,"56","44","    1",,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-07",,,"0.00","0.0","0.0",,"54","39",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-08",,,"0.00","0.0","0.0",,"56","40",,,,,,,"    1",,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-09",,,"0.00","0.0","0.0",,"42","32",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-10",,,"0.00","0.0","0.0",,"42","34",,,,,,,"    1",,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1948-12-11",,,"0.00","0.0","0.0",,"43","28",,,,,,,"    1",,,
